#MASS_MEV  DEG  DEGEFF  MU  BF  ANTI  KEY                  NAME                 PDGCODES...
#--------  ---  ------  --  --  ----  ---                  ----                 -----------
  1720.00    4       0   0   1     1  NBAR_1720            N(1720)bar           -31214
  1720.00    4       0   0   1     1  NBAR_1720            N(1720)bar           -32124
  1750.00    2       0   0   1     0  SIGMA_1750           Sigma(1750)          23112
  1750.00    2       0   0   1     0  SIGMA_1750           Sigma(1750)          23212
  1750.00    2       0   0   1     0  SIGMA_1750           Sigma(1750)          23222
  1750.00    2       0   0   1     1  SIGMABAR_1750        Sigma(1750)bar       -23112
  1750.00    2       0   0   1     1  SIGMABAR_1750        Sigma(1750)bar       -23212
  1750.00    2       0   0   1     1  SIGMABAR_1750        Sigma(1750)bar       -23222
  1773.00    5       0   0   2     0  K2_1770              K_2(1770)            10315
  1773.00    5       0   0   2     0  K2_1770              K_2(1770)            10325
  1773.00    5       0   0   2     1  K2BAR_1770           K_2(1770)bar         -10315
  1773.00    5       0   0   2     1  K2BAR_1770           K_2(1770)bar         -10325
  1775.00    6       0   0   1     0  SIGMA_1775           Sigma(1775)          3116
  1775.00    6       0   0   1     0  SIGMA_1775           Sigma(1775)          3216
  1775.00    6       0   0   1     0  SIGMA_1775           Sigma(1775)          3226
  1775.00    6       0   0   1     1  SIGMABAR_1775        Sigma(1775)bar       -3116
  1775.00    6       0   0   1     1  SIGMABAR_1775        Sigma(1775)bar       -3216
  1775.00    6       0   0   1     1  SIGMABAR_1775        Sigma(1775)bar       -3226
  1776.00    7       0   0   2     0  K3_1780              K_3(1780)            317
  1776.00    7       0   0   2     0  K3_1780              K_3(1780)            327
  1776.00    7       0   0   2     1  K3BAR_1780           K_3(1780)bar         -317
  1776.00    7       0   0   2     1  K3BAR_1780           K_3(1780)bar         -327
  1800.00    2       0   0   1     0  LAMBDA_1800          Lambda(1800)         43122
  1800.00    2       0   0   1     1  LAMBDABAR_1800       Lambda(1800)bar      -43122
  1810.00    2       0   0   1     0  LAMBDA_1810          Lambda(1810)         53122
  1810.00    2       0   0   1     1  LAMBDABAR_1810       Lambda(1810)bar      -53122
  1816.00    5       0   0   2     0  K2_1820              K_2(1820)            20315
  1816.00    5       0   0   2     0  K2_1820              K_2(1820)            20325
  1816.00    5       0   0   2     1  K2BAR_1820           K_2(1820)bar         -20315
  1816.00    5       0   0   2     1  K2BAR_1820           K_2(1820)bar         -20325
  1820.00    4       0   0   1     0  XI_1820              Xi(1820)             13314
  1820.00    4       0   0   1     0  XI_1820              Xi(1820)             13324
  1820.00    4       0   0   1     1  XIBAR_1820           Xi(1820)bar          -13314
  1820.00    4       0   0   1     1  XIBAR_1820           Xi(1820)bar          -13324
  1820.00    6       0   0   1     0  LAMBDA_1820          Lambda(1820)         3126
  1820.00    6       0   0   1     1  LAMBDABAR_1820       Lambda(1820)bar      -3126
  1830.00    6       0   0   1     0  LAMBDA_1830          Lambda(1830)         13126
  1830.00    6       0   0   1     1  LAMBDABAR_1830       Lambda(1830)bar      -13126
  1864.86    1       0   0   2     0  D0                   D0                   421
  1864.86    1       0   0   2     1  DBAR                 Dbar                 -421
  1869.62    1       0   0   2     0  D                    D                    411
  1869.62    1       0   0   2     1  DBAR                 Dbar                 -411
  1890.00    4       0   0   1     0  LAMBDA_1890          Lambda(1890)         23124
  1890.00    4       0   0   1     1  LAMBDABAR_1890       Lambda(1890)bar      -23124
  1900.00    2       0   0   1     0  D_1900               D(1900)              11112
  1900.00    2       0   0   1     0  D_1900               D(1900)              11212
  1900.00    2       0   0   1     0  D_1900               D(1900)              12122
  1900.00    2       0   0   1     0  D_1900               D(1900)++            12222
  1900.00    2       0   0   1     1  DBAR_1900            D(1900)bar           -11112
  1900.00    2       0   0   1     1  DBAR_1900            D(1900)bar           -11212
  1900.00    2       0   0   1     1  DBAR_1900            D(1900)bar           -12122
  1900.00    2       0   0   1     1  D_1900_BAR_BAR       D(1900)bar--bar      -12222
  1905.00    6       0   0   1     0  D_1905               D(1905)              1116
  1905.00    6       0   0   1     0  D_1905               D(1905)              1216
  1905.00    6       0   0   1     0  D_1905               D(1905)              2126
  1905.00    6       0   0   1     0  D_1905               D(1905)++            2226
  1905.00    6       0   0   1     1  DBAR_1905            D(1905)bar           -1116
  1905.00    6       0   0   1     1  DBAR_1905            D(1905)bar           -1216
  1905.00    6       0   0   1     1  DBAR_1905            D(1905)bar           -2126
  1905.00    6       0   0   1     1  D_1905_BAR_BAR       D(1905)bar--bar      -2226
  1910.00    2       0   0   1     0  D_1910               D(1910)              21112
  1910.00    2       0   0   1     0  D_1910               D(1910)              21212
  1910.00    2       0   0   1     0  D_1910               D(1910)              22122
  1910.00    2       0   0   1     0  D_1910               D(1910)++            22222
  1910.00    2       0   0   1     1  DBAR_1910            D(1910)bar           -21112
  1910.00    2       0   0   1     1  DBAR_1910            D(1910)bar           -21212
  1910.00    2       0   0   1     1  DBAR_1910            D(1910)bar           -22122
  1910.00    2       0   0   1     1  D_1910_BAR_BAR       D(1910)bar--bar      -22222
  1915.00    6       0   0   1     0  SIGMA_1915           Sigma(1915)          13116
  1915.00    6       0   0   1     0  SIGMA_1915           Sigma(1915)          13216
  1915.00    6       0   0   1     0  SIGMA_1915           Sigma(1915)          13226
  1915.00    6       0   0   1     1  SIGMABAR_1915        Sigma(1915)bar       -13116
  1915.00    6       0   0   1     1  SIGMABAR_1915        Sigma(1915)bar       -13216
  1915.00    6       0   0   1     1  SIGMABAR_1915        Sigma(1915)bar       -13226
  1920.00    4       0   0   1     0  D_1920               D(1920)              21114
  1920.00    4       0   0   1     0  D_1920               D(1920)              22114
  1920.00    4       0   0   1     0  D_1920               D(1920)              22214
  1920.00    4       0   0   1     0  D_1920               D(1920)++            22224
  1920.00    4       0   0   1     1  DBAR_1920            D(1920)bar           -21114
  1920.00    4       0   0   1     1  DBAR_1920            D(1920)bar           -22114
  1920.00    4       0   0   1     1  DBAR_1920            D(1920)bar           -22214
  1920.00    4       0   0   1     1  D_1920_BAR_BAR       D(1920)bar--bar      -22224
  1930.00    6       0   0   1     0  D_1930               D(1930)              11116
  1930.00    6       0   0   1     0  D_1930               D(1930)              11216
  1930.00    6       0   0   1     0  D_1930               D(1930)              12126
  1930.00    6       0   0   1     0  D_1930               D(1930)++            12226
  1930.00    6       0   0   1     1  DBAR_1930            D(1930)bar           -11116
  1930.00    6       0   0   1     1  DBAR_1930            D(1930)bar           -11216
  1930.00    6       0   0   1     1  DBAR_1930            D(1930)bar           -12126
  1930.00    6       0   0   1     1  D_1930_BAR_BAR       D(1930)bar--bar      -12226
  1940.00    4       0   0   1     0  SIGMA_1940           Sigma(1940)          23114
  1940.00    4       0   0   1     0  SIGMA_1940           Sigma(1940)          23214
  1940.00    4       0   0   1     0  SIGMA_1940           Sigma(1940)          23224
  1940.00    4       0   0   1     1  SIGMABAR_1940        Sigma(1940)bar       -23114
  1940.00    4       0   0   1     1  SIGMABAR_1940        Sigma(1940)bar       -23214
  1940.00    4       0   0   1     1  SIGMABAR_1940        Sigma(1940)bar       -23224
  1950.00    2       0   0   1     0  XI_1950              Xi(1950)             23312
  1950.00    2       0   0   1     0  XI_1950              Xi(1950)             23322
  1950.00    2       0   0   1     1  XIBAR_1950           Xi(1950)bar          -23312
  1950.00    2       0   0   1     1  XIBAR_1950           Xi(1950)bar          -23322
  1950.00    8       0   0   1     0  D_1950               D(1950)              1118
  1950.00    8       0   0   1     0  D_1950               D(1950)              2118
  1950.00    8       0   0   1     0  D_1950               D(1950)              2218
  1950.00    8       0   0   1     0  D_1950               D(1950)++            2228
  1950.00    8       0   0   1     1  DBAR_1950            D(1950)bar           -1118
  1950.00    8       0   0   1     1  DBAR_1950            D(1950)bar           -2118
  1950.00    8       0   0   1     1  DBAR_1950            D(1950)bar           -2218
  1950.00    8       0   0   1     1  D_1950_BAR_BAR       D(1950)bar--bar      -2228
  1968.49    1       0   0   2     0  DS                   D_s                  431
  1968.49    1       0   0   2     1  DSBAR                D_sbar               -431
  1969.08    1       0   0   2     0  CD0                  cd_0                 4101
  1969.08    1       0   0   2     0  CU0                  cu_0                 4201
  1969.08    1       0   0   2     1  CD0BAR               cd_0bar              -4101
  1969.08    1       0   0   2     1  CU0BAR               cu_0bar              -4201
  1990.00    4       0   0   1     0  N_1990               N(1990)              11218
  1990.00    4       0   0   1     0  N_1990               N(1990)              12128
  1990.00    4       0   0   1     1  NBAR_1990            N(1990)bar           -11218
  1990.00    4       0   0   1     1  NBAR_1990            N(1990)bar           -12128
  2006.98    3       0   0   2     0  DSTAR                D*                   423
  2006.98    3       0   0   2     1  DSTARBAR             D*bar                -423
  2008.08    3       0   0   2     0  CD1                  cd_1                 4103
  2008.08    3       0   0   2     0  CU1                  cu_1                 4203
  2008.08    3       0   0   2     1  CD1BAR               cd_1bar              -4103
  2008.08    3       0   0   2     1  CU1BAR               cu_1bar              -4203
  2010.28    3       0   0   2     0  DSTAR                D*                   413
  2010.28    3       0   0   2     1  DSTARBAR             D*bar                -413
  2030.00    6       0   0   1     0  XI_2030              Xi(2030)             3316
  2030.00    6       0   0   1     0  XI_2030              Xi(2030)             3326
  2030.00    6       0   0   1     1  XIBAR_2030           Xi(2030)bar          -3316
  2030.00    6       0   0   1     1  XIBAR_2030           Xi(2030)bar          -3326
  2030.00    8       0   0   1     0  SIGMA_2030           Sigma(2030)          3118
  2030.00    8       0   0   1     0  SIGMA_2030           Sigma(2030)          3218
  2030.00    8       0   0   1     0  SIGMA_2030           Sigma(2030)          3228
  2030.00    8       0   0   1     1  SIGMABAR_2030        Sigma(2030)bar       -3118
  2030.00    8       0   0   1     1  SIGMABAR_2030        Sigma(2030)bar       -3218
  2030.00    8       0   0   1     1  SIGMABAR_2030        Sigma(2030)bar       -3228
  2100.00    8       0   0   1     0  LAMBDA_2100          Lambda(2100)         3128
  2100.00    8       0   0   1     1  LAMBDABAR_2100       Lambda(2100)bar      -3128
  2110.00    6       0   0   1     0  LAMBDA_2110          Lambda(2110)         23126
  2110.00    6       0   0   1     1  LAMBDABAR_2110       Lambda(2110)bar      -23126
  2112.30    3       0   0   2     0  DSTARS               D*_s                 433
  2112.30    3       0   0   2     1  DSTARSBAR            D*_sbar              -433
  2154.32    1       0   0   2     0  CS0                  cs_0                 4301
  2154.32    1       0   0   2     1  CS0BAR               cs_0bar              -4301
  2179.67    3       0   0   2     0  CS1                  cs_1                 4303
  2179.67    3       0   0   2     1  CS1BAR               cs_1bar              -4303
  2190.00    8       0   0   1     0  N_2190               N(2190)              1218
  2190.00    8       0   0   1     0  N_2190               N(2190)              2128
